District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD
EVERGREEN PARK ESD 124,54.9,49.65,44.7,47.85,42.45,39.5,41.525,29.6,
EWING NORTHERN CCSD 115,80.4,79.7,,65.5,62.2,,66.3,65.5,
FAIRFIELD PSD 112,49.0,44.4,,44.05,38.7,,41.1,40.7,
FAIRMONT SD 89,38.8,38.8,,25.4,25.4,,29.2,29.2,
FAIRVIEW SD 72,75.4,68.8,35.0,56.7,47.7,24.7,65.5,59.0,
FARMINGTON CENTRAL CUSD 265,48.9,35.4,26.2,45.3,34.1,21.5,35.3,,
FARRINGTON CCSD 99,59.4,,,43.8,,,,,
FIELD CCSD 3,46.7,37.5,,30.9,19.6,,34.8,,
FIELDCREST CUSD 6,41.8,41.3,,34.2,25.0,,34.3,34.2,
FISHER CUSD 1,62.6,50.0,37.9,48.5,40.0,,34.6,,
FLANAGAN-CORNELL DIST 74,42.3,36.0,,20.3,,,52.8,,
FLORA CUSD 35,63.0,57.9,30.6,54.9,49.1,24.2,35.7,32.7,
FLOSSMOOR SD 161,58.675,46.625,35.7,42.975,29.15,31.0,32.775,,
FORD HEIGHTS SD 169,16.3,16.0,,,,,,,
FOREST PARK SD 91,50.3,39.1,24.5,35.1,24.0,,33.9,26.1,
FOREST RIDGE SD 142,58.25,49.1,23.1,49.05,42.45,32.7,46.2,35.599999999999994,
FORRESTVILLE VALLEY CUSD 221,68.5,62.1,35.7,66.4,53.4,35.7,62.2,,
FOX LAKE GSD 114,36.9,33.3,,36.1,30.4,,,,
FOX RIVER GROVE CONS SD 3,60.5,,50.0,54.7,,,,,
FRANKFORT CCSD 157C,82.8,,57.5,80.8,,56.8,65.3,,54.5
FRANKFORT CUSD 168,45.5,41.4,16.7,31.1,25.2,15.2,35.8,28.6,
FRANKLIN CUSD 1,63.0,,,47.8,,,,,
FRANKLIN PARK SD 84,63.86666666666667,59.1,34.5,51.199999999999996,49.13333333333333,,40.96666666666667,42.75,
FREEBURG CCSD 70,73.9,52.9,32.6,57.7,40.0,30.5,64.9,45.0,39.4
FREEPORT SD 145,28.066666666666666,21.53333333333333,,25.4,18.5,,16.8,9.7,
FREMONT SD 79,68.4,43.8,19.3,59.0,31.3,30.5,60.9,,
GALATIA CUSD 1,43.8,31.9,,21.3,,,38.5,,
GALENA USD 120,65.4,48.8,20.3,55.3,37.2,25.0,52.3,33.3,
GALESBURG CUSD 205,35.225,29.25,19.8,26.35,21.75,9.1,30.3,23.9,
GALLATIN CUSD 7,51.9,46.4,,38.1,30.4,,,,
GALVA CUSD 224,37.6,28.1,,46.1,33.9,,52.0,,
GARDNER CCSD 72C,58.6,59.5,,41.4,40.5,,61.8,,
GAVIN SD 37,34.4,26.8,,41.8,35.4,,,,
GEFF CCSD 14,46.3,36.4,,29.9,,,,,
GEN GEORGE PATTON SD 133,15.3,16.9,,11.1,12.2,,,,
GENESEO CUSD 228,56.46666666666667,42.56666666666667,45.5,50.79999999999999,37.63333333333333,33.3,47.13333333333333,,
GENEVA CUSD 304,70.48333333333333,,45.43333333333334,58.300000000000004,,41.925,65.58333333333333,,52.5
GENOA KINGSTON CUSD 424,34.9,28.3,16.9,31.1,22.5,,29.5,,
GEORGETOWN-RIDGE FARM CUD 4,36.0,29.5,,20.6,16.7,,,,
GERMANTOWN HILLS SD 69,84.1,74.0,57.4,70.75,46.3,34.0,78.5,51.0,
GERMANTOWN SD 60,77.3,51.7,,66.0,37.9,,62.5,,
GIANT CITY CCSD 130,74.0,62.7,,50.4,35.3,,53.8,,
GIBSON CITY-MELVIN-SIBLEY CUSD 5,61.5,52.7,24.6,38.9,30.9,,53.9,44.7,
GIFFORD CCSD 188,56.0,37.5,,39.1,,,50.0,,
GILLESPIE CUSD 7,58.0,52.1,,39.5,34.3,,45.3,36.4,
GLEN ELLYN SD 41,68.825,38.800000000000004,41.825,70.475,34.75,47.0,63.47500000000001,,51.35
GLENCOE SD 35,85.6,,63.6,85.2,,65.5,,,
GLENVIEW CCSD 34,76.13333333333333,54.4,42.233333333333334,69.39999999999999,42.4,39.06666666666667,72.10000000000001,47.05,51.0
GOLF ESD 67,55.0,34.0,38.2,62.1,45.1,42.9,,,
GOREVILLE CUD 1,44.5,32.8,,35.9,22.1,,37.4,22.2,
GOWER SD 62,78.0,58.3,44.1,68.8,58.3,47.1,,,
GRAND PRAIRIE CCSD 6,40.0,40.0,,26.0,26.0,,,,
GRAND RIDGE CCSD 95,64.9,66.7,,51.1,47.1,,41.9,,
GRANITE CITY CUSD 9,25.266666666666666,21.3,8.3,18.0,14.733333333333334,12.3,20.8,15.4,
GRANT CCSD 110,43.6,39.7,,34.2,29.3,,,,
GRANT PARK CUSD 6,74.5,71.7,34.2,48.2,41.8,,50.0,41.2,
GRASS LAKE SD 36,47.4,35.4,,35.1,,,44.7,,
GRAYSLAKE CCSD 46,62.11666666666667,46.81666666666666,37.25,50.18333333333334,35.6,32.825,51.0,33.0,32.7
GRAYVILLE CUSD 1,57.4,43.2,,49.2,40.5,,56.5,,
GREENFIELD CUSD 10,44.1,32.1,,27.4,14.3,,27.3,,
GREENVIEW CUSD 200,66.7,62.5,,60.4,,,,,
GRIGGSVILLE-PERRY CUSD 4,47.5,,,36.6,,,,,
GURNEE SD 56,30.7,20.5,16.7,19.200000000000003,10.649999999999999,18.3,29.049999999999997,11.5,
HAMILTON CCSD 328,63.3,56.6,26.8,41.9,29.5,,48.0,33.3,
HAMILTON CO CUSD 10,57.25,49.65,28.3,37.0,29.9,26.1,40.650000000000006,,
HAMPTON SD 29,41.7,28.3,34.5,32.9,24.1,,50.9,,
HARDIN COUNTY CUSD 1,52.0,48.0,,40.0,32.8,,41.9,,
HARLEM UD 122,38.3125,32.7875,30.549999999999997,33.075,27.35,24.225,36.08,36.13333333333333,
HARMONY EMGE SD 175,49.4,48.25,,27.65,26.4,,30.8,,
HARRISBURG CUSD 3,46.4,41.4,21.6,37.2,31.3,15.3,34.9,23.3,
HARRISON SD 36,36.6,30.4,16.5,26.4,19.6,,27.0,23.8,
HARTSBURG EMDEN CUSD 21,39.2,,,51.0,,,,,
HARVARD CUSD 50,18.8,16.05,,12.25,11.0,,18.7,14.6,
HARVEY SD 152,24.9,25.025000000000002,,21.375,26.133333333333336,,27.7,28.6,
HAVANA CUSD 126,44.7,43.8,22.9,37.4,32.5,28.1,,,
HAWTHORN CCSD 73,60.4,40.833333333333336,32.56666666666667,56.38333333333333,35.5,32.050000000000004,54.73333333333333,51.25,38.1
